Altitude,Temperature,Pressure,Density,Sound,Viscosity
0,59.0000,14.6959,0.00237717,340.294,3.78456
100,58.6434,14.6429,0.00237023,340.177,3.78249
200,58.2868,14.5900,0.00236329,340.060,3.78043
300,57.9302,14.5373,0.00235638,339.943,3.77836
400,57.5735,14.4848,0.00234947,339.826,3.77629
500,57.2169,14.4323,0.00234259,339.709,3.77422
600,56.8603,14.3801,0.00233572,339.591,3.77215
700,56.5037,14.3280,0.00232886,339.474,3.77008
800,56.1471,14.2760,0.00232202,339.357,3.76801
900,55.7905,14.2242,0.00231520,339.240,3.76594
1000,55.4338,14.1726,0.00230839,339.122,3.76386
1100,55.0772,14.1211,0.00230159,339.005,3.76179
1200,54.7206,14.0698,0.00229482,338.887,3.75972
1300,54.3640,14.0186,0.00228805,338.770,3.75764
1400,54.0074,13.9675,0.00228130,338.652,3.75557
1500,53.6508,13.9166,0.00227457,338.535,3.75349
1600,53.2941,13.8659,0.00226785,338.417,3.75142
1700,52.9375,13.8153,0.00226115,338.299,3.74934
1800,52.5809,13.7649,0.00225446,338.182,3.74726
1900,52.2243,13.7146,0.00224779,338.064,3.74518
2000,51.8677,13.6644,0.00224114,337.946,3.74310
2100,51.5111,13.6144,0.00223449,337.828,3.74102
2200,51.1544,13.5646,0.00222787,337.711,3.73894
2300,50.7978,13.5149,0.00222126,337.593,3.73686
2400,50.4412,13.4653,0.00221466,337.475,3.73478
2500,50.0846,13.4159,0.00220808,337.357,3.73270
2600,49.7280,13.3667,0.00220151,337.239,3.73061
2700,49.3714,13.3176,0.00219496,337.121,3.72853
2800,49.0148,13.2686,0.00218842,337.003,3.72645
2900,48.6581,13.2198,0.00218190,336.884,3.72436
3000,48.3015,13.1711,0.00217539,336.766,3.72228
3100,47.9449,13.1226,0.00216890,336.648,3.72019
3200,47.5883,13.0742,0.00216242,336.530,3.71810
3300,47.2317,13.0260,0.00215596,336.411,3.71601
3400,46.8751,12.9779,0.00214951,336.293,3.71392
3500,46.5184,12.9299,0.00214308,336.175,3.71184
3600,46.1618,12.8821,0.00213666,336.056,3.70975
3700,45.8052,12.8345,0.00213026,335.938,3.70765
3800,45.4486,12.7869,0.00212387,335.819,3.70556
3900,45.0920,12.7396,0.00211750,335.701,3.70347
4000,44.7354,12.6923,0.00211114,335.582,3.70138
4100,44.3787,12.6452,0.00210479,335.463,3.69929
4200,44.0221,12.5983,0.00209846,335.345,3.69719
4300,43.6655,12.5515,0.00209214,335.226,3.69510
4400,43.3089,12.5048,0.00208584,335.107,3.69300
4500,42.9523,12.4583,0.00207956,334.988,3.69090
4600,42.5957,12.4119,0.00207328,334.869,3.68881
4700,42.2390,12.3656,0.00206703,334.751,3.68671
4800,41.8824,12.3195,0.00206078,334.632,3.68461
4900,41.5258,12.2736,0.00205455,334.513,3.68251
5000,41.1692,12.2277,0.00204834,334.394,3.68041
